song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key,Energy Levels,Key Signature,Emotional Rating,Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
Back In Blood,Pooh Shiesty ,7FGdjbZ32vMybPuP0IuE7d,184.49,0.538,146.933,0,4,0.831,8,high-medium energy,G#/Ab,highly emotionally positive,501.0,Pooh Shiesty ,Back In Blood,283.0,7.0,9.0,0,718634.0,105011176.0
Sugar,Maroon 5 ,2iuZJX9X9P0GKaE93xcPjk,235.493,0.788,120.076,1,4,0.884,1,high-energy,C#/Db,highly emotionally positive,502.0,Maroon 5 ,Sugar,478.0,67.0,1.0,(x5),667233.0,104864460.0
Blue Christmas,Elvis Presley ,3QiAAp20rPC3dcAtKtMaqQ,129.173,0.27,94.518,1,4,0.58,4,low-medium energy,E,emotionally positive,503.0,Elvis Presley ,Blue Christmas,254.0,0.0,11.0,0,1959442.0,104768563.0
We Paid,Lil Baby ,6gxKUmycQX7uyMwJcweFjp,181.929,0.542,135.14,1,4,0.564,1,high-medium energy,C#/Db,emotionally positive,504.0,Lil Baby ,We Paid,283.0,10.0,9.0,0,824708.0,104746275.0
Sleigh Ride,The Ronettes ,5ASM6Qjiav2xPe7gRkQMsQ,181.267,0.772,91.751,1,4,0.853,2,high-energy,D,highly emotionally positive,505.0,The Ronettes ,Sleigh Ride,188.0,1.0,10.0,0,2784468.0,104353068.0
This Is America,Childish Gambino ,0b9oOr2ZgvyQu88wzixux9,225.773,0.463,120.024,1,4,0.549,5,low-medium energy,F,emotionally positive,506.0,Childish Gambino ,This Is America,157.0,29.0,1.0,(x13),2753489.0,103964722.0
What They Want,Russ ,3pndPhlQWjuSoXhcIIdBjv,165.853,0.404,139.553,0,4,0.398,1,low-medium energy,C#/Db,emotionally negative,507.0,Russ ,What They Want,537.0,0.0,56.0,0,299961.0,103833455.0
Star Shopping,Lil Peep ,6Ox1rvlwEpB49drasQm6RF,142.0,0.471,93.07,0,4,0.307,4,low-medium energy,E,emotionally negative,508.0,Lil Peep ,Star Shopping,416.0,0.0,88.0,0,316621.0,102969266.0
Mixed Personalities,YNW Melly ,6vWEAOUSxohKxhp0K1BsxL,230.4,0.44,149.937,1,4,0.352,2,low-medium energy,D,emotionally negative,509.0,YNW Melly ,Mixed Personalities,225.0,0.0,12.0,0,894571.0,102953208.0
Too Good At Goodbyes,Sam Smith ,1mXVgsBdtIVeCLJnSnmtdV,201.0,0.372,91.873,1,4,0.476,5,low-medium energy,F,emotionally negative,510.0,Sam Smith ,Too Good At Goodbyes,219.0,32.0,3.0,(x5),1243963.0,102793276.0
OUT WEST,JACKBOYS ,6gi6y1xwmVszDWkUqab1qw,157.712,0.591,139.864,1,4,0.309,8,high-medium energy,G#/Ab,emotionally negative,511.0,JACKBOYS ,OUT WEST,262.0,4.0,2.0,(x1),1618620.0,102677098.0
Now Or Never,Halsey ,7i2DJ88J7jQ8K7zqFX2fW8,214.802,0.585,110.03,0,4,0.447,6,high-medium energy,F#/Gb,emotionally negative,512.0,Halsey ,Now Or Never,254.0,0.0,12.0,0,798523.0,102516119.0
Tyler Herro,Jack Harlow ,3w1WjD2zJqjBjDz5fwqQPJ,156.578,0.793,123.031,0,4,0.775,5,high-energy,F,highly emotionally positive,513.0,Jack Harlow ,Tyler Herro,285.0,7.0,9.0,0,905350.0,102414445.0
FRIENDS,Marshmello ,08bNPGLD8AhKpnnERrAc6G,202.621,0.88,95.079,0,4,0.534,9,high-energy,A,emotionally positive,514.0,Marshmello ,FRIENDS,234.0,0.0,15.0,0,789940.0,102354557.0
Hope,XXXTENTACION ,2ZRo7axmMPeSVUvDbGkJah,110.886,0.457,146.04,0,4,0.225,9,low-medium energy,A,highly emotionally negative,515.0,XXXTENTACION ,Hope,327.0,1.0,10.0,0,1443350.0,102329254.0
Bad At Love,Halsey ,7y9iMe8SOB6z3NoHE2OfXl,181.279,0.751,118.384,1,4,0.612,0,high-energy,C,emotionally positive,516.0,Halsey ,Bad At Love,260.0,0.0,22.0,0,683397.0,101922633.0
