song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key
Back In Blood,Pooh Shiesty ,7FGdjbZ32vMybPuP0IuE7d,184.49,0.538,146.933,0,4,0.831,8
Sugar,Maroon 5 ,2iuZJX9X9P0GKaE93xcPjk,235.493,0.788,120.076,1,4,0.884,1
Blue Christmas,Elvis Presley ,3QiAAp20rPC3dcAtKtMaqQ,129.173,0.27,94.518,1,4,0.58,4
We Paid,Lil Baby ,6gxKUmycQX7uyMwJcweFjp,181.929,0.542,135.14,1,4,0.564,1
Sleigh Ride,The Ronettes ,5ASM6Qjiav2xPe7gRkQMsQ,181.267,0.772,91.751,1,4,0.853,2
This Is America,Childish Gambino ,0b9oOr2ZgvyQu88wzixux9,225.773,0.463,120.024,1,4,0.549,5
What They Want,Russ ,3pndPhlQWjuSoXhcIIdBjv,165.853,0.404,139.553,0,4,0.398,1
Star Shopping,Lil Peep ,6Ox1rvlwEpB49drasQm6RF,142.0,0.471,93.07,0,4,0.307,4
Mixed Personalities,YNW Melly ,6vWEAOUSxohKxhp0K1BsxL,230.4,0.44,149.937,1,4,0.352,2
Too Good At Goodbyes,Sam Smith ,1mXVgsBdtIVeCLJnSnmtdV,201.0,0.372,91.873,1,4,0.476,5
OUT WEST,JACKBOYS ,6gi6y1xwmVszDWkUqab1qw,157.712,0.591,139.864,1,4,0.309,8
Now Or Never,Halsey ,7i2DJ88J7jQ8K7zqFX2fW8,214.802,0.585,110.03,0,4,0.447,6
Tyler Herro,Jack Harlow ,3w1WjD2zJqjBjDz5fwqQPJ,156.578,0.793,123.031,0,4,0.775,5
FRIENDS,Marshmello ,08bNPGLD8AhKpnnERrAc6G,202.621,0.88,95.079,0,4,0.534,9
Hope,XXXTENTACION ,2ZRo7axmMPeSVUvDbGkJah,110.886,0.457,146.04,0,4,0.225,9
Bad At Love,Halsey ,7y9iMe8SOB6z3NoHE2OfXl,181.279,0.751,118.384,1,4,0.612,0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$ ,30QR0ndUdiiMQMA9g1PGCm,168.49,0.511,113.983,1,4,0.111,2
Freaky Friday,Lil Dicky ,6dbSBQXCctYSVryynHXaZ4,216.632,0.599,133.123,1,4,0.755,8
